City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Smithers,CA,2021-06-07 01:59:12,54.7804,-127.1743,288.33,44,75,5.66
67,Itupiranga,BR,2021-06-07 01:56:22,-5.1347,-49.3267,298.62,73,57,0.9
68,Lubao,PH,2021-06-07 01:59:13,14.9167,120.55,305.99,59,76,2.14
69,Cayenne,GF,2021-06-07 01:51:13,4.9333,-52.3333,299.31,88,90,1.43
70,Jawhar,SO,2021-06-07 01:59:13,2.7809,45.5005,296.52,92,53,6.02
71,Tommot,RU,2021-06-07 01:59:13,58.9564,126.2925,285.67,76,100,5.01
72,Ilulissat,GL,2021-06-07 01:52:17,69.2167,-51.1,277.34,72,0,1.45
73,Kungurtug,RU,2021-06-07 01:53:50,50.5994,97.5228,280.01,68,96,1.74
74,Tasiilaq,GL,2021-06-07 01:52:17,65.6145,-37.6368,277.13,89,94,1.61
75,Ancud,CL,2021-06-07 01:53:28,-41.8697,-73.8203,284.39,87,100,7.27
76,Hirapur,IN,2021-06-07 01:59:14,21.5333,79.7667,305.63,47,16,3.21
77,Longyearbyen,SJ,2021-06-07 01:51:58,78.2186,15.6401,272.21,81,98,1.57
78,Caravelas,BR,2021-06-07 01:59:14,-17.7125,-39.2481,295.63,84,40,2.06
79,Airai,TL,2021-06-07 01:52:05,-8.9266,125.4092,294.8,50,97,1.33
80,Samana,DO,2021-06-07 01:59:14,19.2056,-69.3369,297.85,86,100,4.31
81,Sitka,US,2021-06-07 01:52:49,57.0531,-135.33,285.09,62,90,2.06
82,Saint-Augustin,CA,2021-06-07 01:52:13,51.226,-58.6502,282.39,73,100,5.27
83,Gizo,SB,2021-06-07 01:59:14,-8.103,156.8419,302.3,69,53,1.78
84,Wuda,CN,2021-06-07 01:59:15,39.4994,106.7117,298.01,20,6,4.92
85,Souillac,MU,2021-06-07 01:51:05,-20.5167,57.5167,296.36,83,40,6.49
86,Jamestown,US,2021-06-07 01:50:14,42.097,-79.2353,296.95,64,1,3.6
87,Busselton,AU,2021-06-07 01:51:41,-33.65,115.3333,285.4,61,21,3.85
88,Harrisonburg,US,2021-06-07 01:56:43,38.4496,-78.8689,298.36,51,79,1.51
89,Korla,CN,2021-06-07 01:52:29,41.7597,86.1469,298.24,29,49,3.92
90,Bethel,US,2021-06-07 01:51:56,41.3712,-73.414,299.31,73,74,1.87
91,Yumen,CN,2021-06-07 01:52:05,40.2833,97.2,291.76,12,66,5.73
92,Fortuna,US,2021-06-07 01:51:58,40.5982,-124.1573,292.14,61,1,3.13
93,Taoudenni,ML,2021-06-07 01:53:30,22.6783,-3.9836,310.25,9,57,2.59
94,Synya,RU,2021-06-07 01:55:25,65.3718,58.0387,276.77,62,99,3.88
95,Matara,LK,2021-06-07 01:55:31,5.9485,80.5353,300.1,85,94,4.27
96,Qaqortoq,GL,2021-06-07 01:52:18,60.7167,-46.0333,277.68,86,100,2.38
97,Kavieng,PG,2021-06-07 01:51:51,-2.5744,150.7967,301.91,69,12,2.44
98,Kruisfontein,ZA,2021-06-07 01:51:58,-34.0033,24.7314,285.76,27,0,3.69
99,Balsas,BR,2021-06-07 01:59:17,-7.5325,-46.0356,299.9,45,99,0.36
100,Lebu,CL,2021-06-07 01:52:10,-37.6167,-73.65,281.59,83,96,3.07
101,Chokurdakh,RU,2021-06-07 01:52:11,70.6333,147.9167,278.88,58,79,2.68
102,Saint George,US,2021-06-07 01:52:19,37.1041,-113.5841,310.48,9,1,1.34
103,Peniche,PT,2021-06-07 01:55:26,39.3558,-9.3811,289.42,86,0,7.54
104,Hasaki,JP,2021-06-07 01:52:19,35.7333,140.8333,298.31,79,100,0.95
105,Mbaiki,CF,2021-06-07 01:55:55,3.8678,17.9892,292.9,96,98,0.9
106,Jhansi,IN,2021-06-07 01:59:17,25.4333,78.5833,307.24,36,45,6.45
107,Westport,US,2021-06-07 01:49:16,41.1415,-73.3579,301.47,72,1,2.88
108,Puerto Ayora,EC,2021-06-07 01:51:58,-0.7393,-90.3518,295.12,96,32,0.89
109,Saint-Joseph,RE,2021-06-07 01:52:24,-21.3667,55.6167,294.36,84,96,7.44
110,Minas,UY,2021-06-07 01:59:18,-34.3759,-55.2377,281.41,92,79,2.88
111,Roald,NO,2021-06-07 01:52:08,62.5833,6.1333,285.32,87,90,1.03
112,Walvis Bay,NA,2021-06-07 01:56:39,-22.9575,14.5053,295.68,23,0,6.12
113,Guymon,US,2021-06-07 01:58:30,36.6828,-101.4816,301.16,45,0,5.62
114,Cherskiy,RU,2021-06-07 01:52:09,68.75,161.3,294.38,33,80,9.12
115,Rajbiraj,NP,2021-06-07 01:59:18,26.5333,86.75,303.28,66,0,4.23
116,Aklavik,CA,2021-06-07 01:53:33,68.2191,-135.0107,282.55,37,12,4.03
117,Waddan,LY,2021-06-07 01:59:18,29.1614,16.139,297.27,26,0,3.55
118,Labuhan,ID,2021-06-07 01:51:47,-6.8844,112.2051,301.72,70,88,2.89
119,Gisborne,NZ,2021-06-07 01:59:18,-38.6533,178.0042,289.79,74,100,5.97
120,Salalah,OM,2021-06-07 01:48:24,17.0151,54.0924,302.2,89,75,2.06
121,Hithadhoo,MV,2021-06-07 01:51:43,-0.6,73.0833,301.47,72,9,5.46
122,Port Alfred,ZA,2021-06-07 01:51:44,-33.5906,26.891,290.08,36,0,4.23
123,Kudahuvadhoo,MV,2021-06-07 01:53:50,2.6708,72.8944,301.36,72,30,6.81
124,Fort Nelson,CA,2021-06-07 01:55:59,58.8053,-122.7002,289.92,36,75,5.14
125,Whitianga,NZ,2021-06-07 01:59:19,-36.8333,175.7,288.16,88,100,9.26
126,Khilok,RU,2021-06-07 01:59:19,51.3674,110.4676,280.95,89,100,1.77
127,Vanavara,RU,2021-06-07 01:59:19,60.34,102.2797,277.38,91,100,2.61
128,Erdenet,MN,2021-06-07 01:59:20,49.0333,104.0833,275.39,100,100,2.88
129,Itea,GR,2021-06-07 01:59:20,38.4333,22.4167,293.25,57,25,2.76
130,Mount Isa,AU,2021-06-07 01:59:20,-20.7333,139.5,295.02,37,0,3.6
131,Banda Aceh,ID,2021-06-07 01:55:59,5.5577,95.3222,301.43,68,100,4.51
132,Upernavik,GL,2021-06-07 01:51:53,72.7868,-56.1549,275.26,83,21,2.08
133,Thompson,CA,2021-06-07 01:52:35,55.7435,-97.8558,287.24,88,90,3.09
134,Dingle,PH,2021-06-07 01:51:48,10.9995,122.6711,302.35,67,100,1.92
135,Requena,ES,2021-06-07 01:59:21,39.4883,-1.1004,287.67,77,0,0.67
136,Ayan,RU,2021-06-07 01:59:21,56.45,138.1667,278.85,89,96,1.93
137,Cuicatlan,MX,2021-06-07 01:59:21,17.8,-96.9667,298.09,84,34,1.22
138,Bay Roberts,CA,2021-06-07 01:59:21,47.5999,-53.2648,277.78,90,37,2.68
139,Russell,US,2021-06-07 01:52:09,32.3502,-85.1999,297.72,94,90,1.54
140,Shubarkuduk,KZ,2021-06-07 01:59:22,49.1447,56.4872,291.43,48,100,2.72
141,Otavi,NA,2021-06-07 01:53:25,-19.65,17.3333,283.11,51,0,4.26
142,Safranbolu,TR,2021-06-07 01:59:22,41.2508,32.6942,282.66,77,55,0.84
143,Springfield,US,2021-06-07 01:55:39,37.2153,-93.2982,295.35,94,80,1.34
144,Sambava,MG,2021-06-07 01:59:22,-14.2667,50.1667,294.97,86,40,5.48
145,Chuy,UY,2021-06-07 01:51:48,-33.6971,-53.4616,283.29,79,8,2.91
146,Naze,JP,2021-06-07 01:53:18,28.3667,129.4833,297.66,93,100,3.05
147,Erenhot,CN,2021-06-07 01:59:23,43.6475,111.9767,298.36,33,76,8.68
148,Meghri,AM,2021-06-07 01:59:23,38.9029,46.2446,289.42,88,78,1.65
149,Samfya,ZM,2021-06-07 01:59:24,-11.3649,29.5565,287.18,74,54,4.21
150,Southbridge,US,2021-06-07 01:52:47,42.0751,-72.0334,299.16,79,78,2.81
151,Mahebourg,MU,2021-06-07 01:51:33,-20.4081,57.7,296.31,83,40,4.12
152,Acapulco,MX,2021-06-07 01:51:59,16.8634,-99.8901,302.02,78,100,3.59
153,Puerto Escondido,MX,2021-06-07 01:52:32,15.85,-97.0667,301.88,80,100,2.38
154,Sorland,NO,2021-06-07 01:51:44,67.667,12.6934,283.39,96,100,2.79
155,Mitsamiouli,KM,2021-06-07 01:53:11,-11.3847,43.2844,298.81,70,9,6.65
